Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
Simon,Walsh,Male,21,England,White Collar,05.Jan.15,113810.15
Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,36919.73
Liam,Brown,Male,46,England,White Collar,07.Jan.15,101536.83
Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,1421.52
Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,35639.79
Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,122443.77
Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,42879.84
Lisa,Knox,Female,48,Scotland,Other,11.Jan.15,36680.17
Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,74284.35
Dominic,Parr,Male,42,England,White Collar,12.Jan.15,10912.45
Syman,Welsh,Male,21,England,White Collar,05.Jan.15,113810.15
Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,39667.83
Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,32281.62
Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,40781.63
Thomas,Lawrence,Male,46,Scotland,Other,12.Jan.15,48791.46
Madeleine,Marshall,Female,36,Wales,Other,12.Jan.15,2846.03
Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,2116.85
Grace,Hill,Female,31,Scotland,Other,14.Jan.15,10356.31
Samantha,Coleman,Female,42,Scotland,Other,14.Jan.15,3801.69
William,Ince,Male,40,England,Blue Collar,15.Jan.15,65534.69
Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,11462.64
Boris,Johnston,Male,37,Wales,Other,16.Jan.15,31778.9
Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,21252.97
Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,66785.78
Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,6580.81
Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,20505.32
Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,43249.26
Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,3967.2
Alison,Fisher,Female,33,England,White Collar,25.Jan.15,3428.56
Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,20516.1
Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,10813.83
Megan,Bell,Female,25,England,White Collar,28.Jan.15,38889.76
Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,14094.01
Grace,Chapman,Female,58,Scotland,Other,29.Jan.15,10356.31
Jake,Wilson,Male,26,England,Other,30.Jan.15,5833.62
Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,77809.59
Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,31680.67
Sophie,Gill,Female,33,England,White Collar,31.Jan.15,20504.37
Robert,Cornish,Male,31,England,Other,31.Jan.15,5688.36
Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,12848.59
Gavin,Pullman,Male,59,Scotland,Other,31.Jan.15,114456.23
Edward,Terry,Male,27,England,Blue Collar,01.Feb.15,51412.6
Diane,Black,Female,35,England,White Collar,01.Feb.15,9695.7
Jake,Morgan,Male,49,Scotland,Blue Collar,01.Feb.15,114021.21
Yvonne,Churchill,Female,22,Northern Ireland,Other,01.Feb.15,107728.07
Dorothy,Johnston,Female,53,England,Other,03.Feb.15,2893.19
Lisa,Berry,Female,47,Scotland,Other,03.Feb.15,54589.61
Leah,Nolan,Female,32,Scotland,Other,03.Feb.15,59501.63
Carolyn,Lewis,Female,19,Northern Ireland,Other,08.Feb.15,14337.82
Simon,Ball,Male,27,England,White Collar,12.Feb.15,23921.89
Charles,Nolan,Male,39,England,White Collar,12.Feb.15,39034.14
Sophie,Wilkins,Female,29,England,Blue Collar,12.Feb.15,1401.43
Kimberly,James,Female,31,England,Blue Collar,12.Feb.15,41626.25
Madeleine,Ellison,Female,37,England,Other,12.Feb.15,47551.7
Irene,MacLeod,Female,32,England,White Collar,12.Feb.15,24187.98
Cameron,Taylor,Male,24,England,White Collar,12.Feb.15,4912.21
Liam,Gibson,Male,40,England,White Collar,12.Feb.15,58391.45
Donna,Knox,Female,33,England,Blue Collar,12.Feb.15,58033.89
Piers,Morgan,Male,44,England,White Collar,12.Feb.15,35831.2
Phil,Randall,Male,39,England,Other,12.Feb.15,1879.85
